Year,Institution_raw,doctorate_by_research,masters_by_research,hdr_completions,hdr_has_suppressed_np,total_completions,source,HEP_Code,Institution_canonical,rbg_total,rbg_rtp,rbg_rsp_like,rbg_total_covid_adj
2018,The University of Adelaide,339.0,61.0,400.0,False,7009.0,legacy_xls_table8,3010,The University of Adelaide,88054687,46864184.0,41190503.0,88054687.0
2018,Torrens University Australia,2.0,2.0,4.0,False,2826.0,legacy_xls_table8,4449,Torrens University Australia,110830,45776.0,65054.0,110830.0
2018,University of South Australia,144.0,15.0,159.0,False,7180.0,legacy_xls_table8,3027,University of South Australia,35070473,19756278.0,15314195.0,35070473.0
2018,University of Tasmania,204.0,21.0,225.0,False,9751.0,legacy_xls_table8,3045,University of Tasmania,48079915,24642801.0,23437114.0,48079915.0
2018,Charles Darwin University,26.0,7.0,33.0,False,1708.0,legacy_xls_table8,3001,Charles Darwin University,17166591,7267253.0,9899338.0,17166591.0
2018,The Australian National University,361.0,,361.0,True,7534.0,legacy_xls_table8,3033,The Australian National University,120240294,57139186.0,63101108.0,120240294.0
2018,University of Canberra,66.0,8.0,74.0,False,3610.0,legacy_xls_table8,2241,University of Canberra,9148003,5140501.0,4007502.0,9148003.0
2018,Australian Catholic University,70.0,,70.0,True,7358.0,legacy_xls_table8,3006,Australian Catholic University,7194818,3770671.0,3424147.0,7194818.0
2019,Charles Sturt University,69.0,2.0,71.0,False,9488.0,legacy_xls_table8,3005,Charles Sturt University,9775148,6356780.0,3418368.0,9775148.0
2019,Macquarie University,287.0,274.0,561.0,False,9979.0,legacy_xls_table8,3025,Macquarie University,44258939,28464054.0,15794885.0,44258939.0
2019,Southern Cross University,33.0,2.0,35.0,False,3554.0,legacy_xls_table8,3038,Southern Cross University,7244773,4241145.0,3003628.0,7244773.0
2019,The University of New England,80.0,13.0,93.0,False,3854.0,legacy_xls_table8,3039,University of New England,16457931,9093954.0,7363977.0,16457931.0
2019,The University of Newcastle,242.0,10.0,252.0,False,6657.0,legacy_xls_table8,3014,University of Newcastle,47047392,24388898.0,22658494.0,47047392.0
2019,The University of Sydney,698.0,158.0,856.0,False,17766.0,legacy_xls_table8,3040,The University of Sydney,179952223,95918046.0,84034177.0,179952223.0
