HEP Code,Higher Education Provider,Year,State/Territory,Cohort,Doctorate by Research,Masters by Research
2241,University of Canberra,2017,ACT,IRU,60,6
4331,University of Divinity,2017,VIC,non-aligned,10,<5
3039,University of New England,2017,NSW,RUN,96,12
3013,University of New South Wales,2017,NSW,Go8,632,105
3014,University of Newcastle,2017,NSW,ATN,230,18
3027,University of South Australia,2017,SA,ATN,195,15
2201,University of Southern Queensland,2017,QLD,RUN,72,6
3045,University of Tasmania,2017,TAS,non-aligned,215,15
3016,University of Technology Sydney,2017,NSW,ATN,219,25
3043,University of the Sunshine Coast,2017,QLD,RUN,34,<5
1058,University of Wollongong,2017,NSW,non-aligned,241,39
3007,Victoria University,2017,VIC,non-aligned,112,9
3004,Western Sydney University,2017,NSW,IRU,133,92
3006,Australian Catholic University,2016,OTHER,non-aligned,57,8
3003,Bond University ,2016,QLD,non-aligned,23,16
2200,Central Queensland University,2016,QLD,RUN,57,6
3001,Charles Darwin University,2016,NT,non-aligned,32,9
3005,Charles Sturt University,2016,NSW,RUN,99,9
2236,Curtin University,2016,WA,ATN,261,46
3030,Deakin University,2016,VIC,ATN,259,14
2235,Edith Cowan University,2016,WA,non-aligned,67,23
2154,Federation University Australia,2016,VIC,RUN,24,<5
3029,Flinders University,2016,SA,IRU,172,13
3032,Griffith University,2016,QLD,IRU,333,21
1019,James Cook University,2016,QLD,IRU,134,10
3020,La Trobe University,2016,VIC,IRU,181,21
3025,Macquarie University,2016,NSW,non-aligned,284,254
3035,Monash University,2016,VIC,Go8,716,94
1034,Murdoch University,2016,WA,IRU,110,14
3042,Queensland University of Technology,2016,QLD,non-aligned,303,128
3034,Royal Melbourne Institute of Technology,2016,VIC,ATN,246,34
3038,Southern Cross University,2016,NSW,RUN,60,6
2177,Swinburne University of Technology,2016,VIC,non-aligned,121,11
3033,The Australian National University,2016,ACT,Go8,371,33
3010,The University of Adelaide,2016,SA,Go8,333,72
3036,The University of Melbourne,2016,VIC,Go8,755,146
3044,The University of Notre Dame Australia,2016,WA,non-aligned,8,15
3019,The University of Queensland,2016,QLD,Go8,731,91
3040,The University of Sydney,2016,NSW,Go8,679,194
1055,The University of Western Australia,2016,WA,Go8,349,48
2241,University of Canberra,2016,ACT,IRU,65,<5
4331,University of Divinity,2016,VIC,non-aligned,18,<5
3039,University of New England,2016,NSW,RUN,111,11
3013,University of New South Wales,2016,NSW,Go8,531,99
3014,University of Newcastle,2016,NSW,ATN,228,13
3027,University of South Australia,2016,SA,ATN,199,10
2201,University of Southern Queensland,2016,QLD,RUN,79,6
3045,University of Tasmania,2016,TAS,non-aligned,198,22
3016,University of Technology Sydney,2016,NSW,ATN,178,28
3043,University of the Sunshine Coast,2016,QLD,RUN,28,6
1058,University of Wollongong,2016,NSW,non-aligned,235,40
3007,Victoria University,2016,VIC,non-aligned,118,8
3004,Western Sydney University,2016,NSW,IRU,130,22
3006,Australian Catholic University,2015,OTHER,non-aligned,40,8
3003,Bond University ,2015,QLD,non-aligned,23,<5
2200,Central Queensland University,2015,QLD,RUN,30,12
3001,Charles Darwin University,2015,NT,non-aligned,32,<5
3005,Charles Sturt University,2015,NSW,RUN,93,11
2236,Curtin University,2015,WA,ATN,259,33
3030,Deakin University,2015,VIC,ATN,239,13
2235,Edith Cowan University,2015,WA,non-aligned,88,36
2154,Federation University Australia,2015,VIC,RUN,24,11
3029,Flinders University,2015,SA,IRU,131,15
3032,Griffith University,2015,QLD,IRU,231,13
1019,James Cook University,2015,QLD,IRU,118,18
3020,La Trobe University,2015,VIC,IRU,182,23
3025,Macquarie University,2015,NSW,non-aligned,307,286
3035,Monash University,2015,VIC,Go8,735,126
1034,Murdoch University,2015,WA,IRU,89,22
3042,Queensland University of Technology,2015,QLD,non-aligned,322,102
3034,Royal Melbourne Institute of Technology,2015,VIC,ATN,242,36
3038,Southern Cross University,2015,NSW,RUN,52,7
2177,Swinburne University of Technology,2015,VIC,non-aligned,123,18
3033,The Australian National University,2015,ACT,Go8,368,29
3010,The University of Adelaide,2015,SA,Go8,330,71
3036,The University of Melbourne,2015,VIC,Go8,637,128
3044,The University of Notre Dame Australia,2015,WA,non-aligned,12,14
3019,The University of Queensland,2015,QLD,Go8,665,83
3040,The University of Sydney,2015,NSW,Go8,625,191
1055,The University of Western Australia,2015,WA,Go8,318,54
2241,University of Canberra,2015,ACT,IRU,69,5
4331,University of Divinity,2015,VIC,non-aligned,<5,5
3039,University of New England,2015,NSW,RUN,85,12
3013,University of New South Wales,2015,NSW,Go8,574,109
3014,University of Newcastle,2015,NSW,ATN,217,28
3027,University of South Australia,2015,SA,ATN,185,18
2201,University of Southern Queensland,2015,QLD,RUN,57,<5
3045,University of Tasmania,2015,TAS,non-aligned,166,15
3016,University of Technology Sydney,2015,NSW,ATN,188,30
3043,University of the Sunshine Coast,2015,QLD,RUN,27,<5
1058,University of Wollongong,2015,NSW,non-aligned,228,44
3007,Victoria University,2015,VIC,non-aligned,116,5
3004,Western Sydney University,2015,NSW,IRU,131,19
3006,Australian Catholic University,2014,OTHER,non-aligned,32,5
2246,Batchelor Institute of Indigenous Tertiary Education,2014,NT,non-aligned,<5,0
3003,Bond University ,2014,QLD,non-aligned,8,<5
2200,Central Queensland University,2014,QLD,RUN,33,13
3001,Charles Darwin University,2014,NT,non-aligned,34,8
3005,Charles Sturt University,2014,NSW,RUN,72,10
2236,Curtin University,2014,WA,ATN,245,52
3030,Deakin University,2014,VIC,ATN,270,10
2235,Edith Cowan University,2014,WA,non-aligned,86,37
2154,Federation University Australia,2014,VIC,RUN,15,<5
3029,Flinders University,2014,SA,IRU,138,6
3032,Griffith University,2014,QLD,IRU,213,17
1019,James Cook University,2014,QLD,IRU,93,12
3020,La Trobe University,2014,VIC,IRU,220,20
3025,Macquarie University,2014,NSW,non-aligned,297,96
3035,Monash University,2014,VIC,Go8,663,118
1034,Murdoch University,2014,WA,IRU,76,17
3042,Queensland University of Technology,2014,QLD,non-aligned,292,89
